,dt,f1,f5,f2,f4,agg,f3,cd_f1,cd_f5,cd_f2,cd_f4,cd_agg,cd_f3,Size,cd_coper,sz_anal,cd_anal,sz_dist,cd_dist,sz_logg,cd_logg
0,20211214,2147,3010,1086,426,,23375,2453886,2652343,1313471,446203,,25751292,2655189,-15674,1931096,1037,2932359,19192,1744937,17338
1,20211215,1937,2675,1075,372,,20596,2455823,2655018,1314546,446575,,25771888,2660503,5314,1933663,2567,2953101,20742,1752366,7429
2,20211216,1888,2767,998,388,,22040,2457711,2657785,1315544,446963,,25793928,2662213,1710,1935328,1665,2974191,21090,1757738,5372
3,20211217,1445,2209,893,330,,18179,2459156,2659994,1316437,447293,,25812107,2663908,1695,1937038,1710,2988452,14261,1758035,297
4,20211218,611,821,432,84,,6078,2459767,2660815,1316869,447377,,25818185,2657027,-6881,1938254,1216,2991049,2597,1749164,-8871
5,20211219,545,761,425,46,,5089,2460312,2661576,1317294,447423,,25823274,2658165,1138,1938836,582,2972162,-18887,1734259,-14905
6,20211220,1797,2793,1014,371,,22691,2462109,2664369,1318308,447794,,25845965,2668244,10079,1941411,2575,2950650,-21512,1779352,45093
7,20211221,2084,3288,1111,425,,23114,2464193,2667657,1319419,448219,,25869079,2662697,-5547,1941560,149,2955271,4621,1832943,53591
8,20211222,1725,2870,1072,403,,21548,2465918,2670527,1320491,448622,,25890627,2664409,1712,1943685,2125,2976063,20792,1834953,2010
9,20211223,1884,2954,1061,412,,36558,2467802,2673481,1321552,449034,,25927185,2669459,5050,1945233,1548,3031990,55927,1839958,5005
10,20211224,1631,2623,1002,429,,43335,2469433,2676104,1322554,449463,,25970520,2671679,2220,1947164,1931,3073147,41157,1842108,2150
11,20211225,674,929,460,67,,7087,2470107,2677033,1323014,449530,,25977607,2671508,-171,1947968,804,3076321,3174,1835564,-6544
12,20211226,617,930,465,87,,5560,2470724,2677963,1323479,449617,,25983167,2672604,1096,1948637,669,3051015,-25306,1807220,-28344
13,20211227,1856,2868,1094,364,,40654,2472580,2680831,1324573,449981,,26023821,2682241,9637,1950212,1575,3070855,19840,1845661,38441
14,20211228,2258,3359,1090,362,,37451,2474838,2684190,1325663,450343,,26061272,2680424,-1817,1950310,98,3100299,29444,1848510,2849
15,20211229,1976,2986,1066,351,,65631,2476814,2687176,1326729,450694,,26126903,2693422,12998,1954325,4015,3114792,14493,1848704,194
16,20211230,1750,3105,1131,334,,21809,2478564,2690281,1327860,451028,,26148712,2687290,-6132,1954359,34,3137766,22974,1839394,-9310
17,20220101,1242,2100,840,375,,19372,2479806,2692381,1328700,451403,,26168084,2717364,30074,1956271,1912,3148480,10714,1841642,2248
18,20220102,16,19,15,,,7430,2479822,2692400,1328715,,,26175514,2694516,-22848,1962150,5879,3152213,3733,1838210,-3432
19,20220103,624,895,457,76,,6241,2480446,2693295,1329172,451479,,26181755,2708069,13553,1962724,574,3129958,-22255,1821682,-16528
20,20220104,2077,3037,1043,401,,40939,2482523,2696332,1330215,451880,,26222694,2707558,-511,1965222,2498,3115477,-14481,1874799,53117
21,20220105,2389,3373,1177,421,,25230,2484912,2699705,1331392,452301,,26247924,2697648,-9910,1965256,34,3115686,209,1876782,1983
22,20220106,1796,3136,1082,432,,30670,2486708,2702841,1332474,452733,,26278594,2699374,1726,1966253,997,3135939,20253,1876836,54
23,20220107,2169,2931,1078,404,,24285,2488877,2705772,1333552,453137,,26302879,2705508,6134,1968327,2074,3161990,26051,1887172,10336
24,20220108,1687,2730,1043,361,,20302,2490564,2708502,1334595,453498,,26323181,2705552,44,1970563,2236,3165769,3779,1892520,5348
25,20220109,565,846,418,68,,5746,2491129,2709348,1335013,453566,,26328927,2281253,-424299,1971414,851,3167593,1824,1894356,1836
26,20220110,459,626,387,38,,3866,2491588,2709974,1335400,453604,,26332793,2285436,4183,1972086,672,3146593,-21000,1857385,-36971
27,20220111,1797,2871,1045,394,,22558,2493385,2712845,1336445,453998,,26355351,2292724,7288,1974210,2124,3127680,-18913,1905512,48127
28,20220112,1756,2943,1071,408,,22788,2495141,2715788,1337516,454406,,26378139,2289112,-3612,1975576,1366,3129175,1495,1914168,8656
29,20220113,2315,3342,1113,384,,21955,2497456,2719130,1338629,454790,,26400094,2291692,2580,1978314,2738,3149281,20106,1916332,2164
30,20220114,1949,3056,1061,407,,22783,2499405,2722186,1339690,455197,,26422877,2298071,6379,1980566,2252,3169997,20716,1922588,6256
31,20220115,1773,2841,1001,348,,21637,2501178,2725027,1340691,455545,,26444514,2302524,4453,1982894,2328,3173147,3150,1924658,2070
32,20220116,612,829,409,80,,6327,2501790,2725856,1341100,455625,,26450841,2295484,-7040,1983779,885,3168993,-4154,1920260,-4398
33,20220117,222,265,182,15,,2986,2502012,2726121,1341282,455640,,26453827,2330470,34986,2086526,102747,3148033,-20960,1894286,-25974
34,20220118,1748,2878,1030,375,,22096,2503760,2728999,1342312,456015,,26475923,2311733,-18737,2226597,140071,3124967,-23066,1943407,49121
35,20220119,1943,3024,1046,365,,21007,2505703,2732023,1343358,456380,,26496930,2290848,-20885,1951830,-274767,3125226,259,1953931,10524
36,20220120,1896,3213,1113,433,,23280,2507599,2735236,1344471,456813,,26520210,2291344,496,1954657,2827,3143370,18144,1959912,5981
